canonical_id,compound_code,title,variant,pose_index,source_file,canonical_smiles,canonical_smiles_nonisomeric,scaffold,molecular_formula,formal_charge,heavy_atom_count,atom_count_with_h,conformer_count,smiles_sha256,glide_docking_score,glide_emodel,glide_ligand_efficiency,pose_count,variant_count,unique_variant_structures,structure_join_status,extraction_status
ATP-HTVS-0009DAEDE04F,79971,rxn502b____EMOL6884260____EMOL7515103____EMOL712348,79971-2,586,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12,N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12,O=C(CCc1ccccc1)Nc1ncc(Nc2ccccc2)c2ccccc12,C26H22N4OS,0.0,32.0,54.0,1.0,4781d177e946e6d885085836c3f6d97958067afc6759b407ff9fab9886c0e493,-3.58525470579908,-50.6046984272226,-0.112039209556221,1,1,1,matched,complete
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-2,485,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,C[NH+](C)Cc1ccccc1C(=O)Nc1c(N[C@H](C#N)c2c(F)cccc2F)cnc2ccccc12,C[NH+](C)Cc1ccccc1C(=O)Nc1c(NC(C#N)c2c(F)cccc2F)cnc2ccccc12,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,C27H24F2N5O+,1.0,35.0,59.0,1.0,cddee62fded08fb3cc3af3d043bf9a4ac92313e44962b1b8cf1437ae15dcfcd0,-3.84066710724475,-54.6541829923864,-0.109733345921279,6,6,6,matched,complete
ATP-HTVS-003E4D952AAC,76899,rxn502b____EMOL5415347____EMOL13728749____EMOL725587,76899-2,368,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,CC(=O)[C@@H](Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1,CC(=O)C(Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,C28H29N4O2+,1.0,34.0,63.0,1.0,7f19982b6f9391c10214c0ae81218d9518bc894c8ec395710ffb42af61b7cf5e,-4.13615387037502,-54.9996939825513,-0.121651584422795,6,6,6,matched,complete
ATP-HTVS-005EEA24BFEA,69987,rxn502b____EMOL5415347____EMOL44466703____EMOL24630243,69987-2,298,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,CN(c1cc2ccccc2nc1NC(=O)c1ccccc1C[NH+](C)C)[C@H](C#N)c1ccccc1,CN(c1cc2ccccc2nc1NC(=O)c1ccccc1C[NH+](C)C)C(C#N)c1ccccc1,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1,C28H28N5O+,1.0,34.0,62.0,1.0,35f280d14bd4243bff3899ed17273e4719ee3efcc673b118fb070fb404f8dd15,-4.35640294669943,-56.6134278699844,-0.128129498432336,4,4,4,matched,complete
ATP-HTVS-0063E4174F09,34081,m_270004bda____24170338____19565760,34081-1,1397,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,O=C1CN(Cc2ccc(Cl)cc2I)[C@H](c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccc(Cl)cc2I)C(c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,C22H18ClIN2O,0.0,27.0,45.0,1.0,dd80b3e93993afe93b3c4b2b121699880cd86b273c4e99b05d63bbf297417866,-1.03468293307069,-36.9869611189895,-0.0383215901137294,2,2,2,matched,complete
ATP-HTVS-0079D40D2121,29921,m_2230bbb____22404310____7471132,29921-4,686,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,Cc1ccccc1C[C@@H](CO)NCc1nc2ccccc2c(-c2ccccc2)c1Cl,Cc1ccccc1CC(CO)NCc1nc2ccccc2c(-c2ccccc2)c1Cl,c1ccc(CCNCc2cc(-c3ccccc3)c3ccccc3n2)cc1,C26H25ClN2O,0.0,30.0,55.0,1.0,e6abae2f8b2ca1c296b57940157c14cf476f2475cc10ddbfb564ed36452c002b,-3.34092399123274,-42.5313617909771,-0.111364133041091,1,1,1,matched,complete
ATP-HTVS-007D6F34F923,30817,m_282030aaa____21928560____23157418____21973156,30817-2,628,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,C[NH+](C)Cc1ccccc1CNc1nc2ccccc2nc1N[C@@H](CCO)c1ccccc1,C[NH+](C)Cc1ccccc1CNc1nc2ccccc2nc1NC(CCO)c1ccccc1,c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1,C27H32N5O+,1.0,33.0,65.0,1.0,5303980bfd162aa33e46fa4ba8a3efdddc880bebc4edb5a52ff6057ac5c3fb1f,-3.4850388695678,-45.0104956361892,-0.105607238471752,4,4,4,matched,complete
ATP-HTVS-00C8034698A8,34403,m_270004bbb____15775648____24720718,34403-1,18,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,C[NH+](C)Cc1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,C[NH+](C)Cc1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,c1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,C23H28N4O+2,2.0,28.0,56.0,1.0,c2a2717a2ac5eeb1a7c7aa5defb626e785f265562157c21b8ade7dcce1c47d79,-5.81163963281027,-67.4370508101919,-0.207558558314652,2,2,2,matched,complete
ATP-HTVS-00F86A54285D,38369,m_282030aaa____21930538____22360182____21973156,38369-1,464,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,C[NH+](C)Cc1ccccc1CNc1nc(NCc2ccccc2CO)[nH+]c2ccccc12,C[NH+](C)Cc1ccccc1CNc1nc(NCc2ccccc2CO)[nH+]c2ccccc12,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,C26H31N5O+2,2.0,32.0,63.0,1.0,55ddb78d8e57d70bf54ad1480f6654a008c83eabf3758e13c6a9c7d654ee0ce6,-3.90724208104371,-49.0435976915142,-0.122101315032616,3,3,3,matched,complete
ATP-HTVS-011A966B3F21,59203,m_269862bba____21537480____13192834,59203-1,28,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,Cc1cccc(C[C@@H](CO)C[NH2+][C@H](c2ccccn2)c2cc3ccccc3o2)c1,Cc1cccc(CC(CO)C[NH2+]C(c2ccccn2)c2cc3ccccc3o2)c1,c1ccc(CCC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,C25H27N2O2+,1.0,29.0,56.0,1.0,673f0c39077d27010bdabfb22908af5531ce036d966bbdc585cf774228e4956f,-5.69314528862896,-56.459517369037,-0.196315354780309,2,2,2,matched,complete
ATP-HTVS-0125A5267C6C,70530,rxn502b____EMOL490868____EMOL7515103____EMOL2873214,70530-1,251,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)c3ccc(O)cc3)c3ccccc23)c1,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)c3ccc(O)cc3)c3ccccc23)c1,O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1,C26H27N4O2+,1.0,32.0,59.0,1.0,a71f05d8995ae74787d4047a17690e77821122f0bfb87f56fd17ff3bcd32e956,-4.51418145101,-58.5210689917541,-0.141068170344062,3,3,3,matched,complete
ATP-HTVS-0161AEC2E23E,48867,m_269862bba____24386160____7200598,48867-1,161,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,C[C@@H]([NH2+]Cc1ccccc1C[NH+](C)C)c1ccc(-c2ccccc2[N+](=O)[O-])s1,CC([NH2+]Cc1ccccc1C[NH+](C)C)c1ccc(-c2ccccc2[N+](=O)[O-])s1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)s2)cc1,C22H27N3O2S+2,2.0,28.0,55.0,1.0,892aff2214d0278519b98367ccb71609ce294e6f741acfd7a4ffb1e68d4f7763,-4.83483869865031,-58.5792915755031,-0.172672810666082,6,6,6,matched,complete
ATP-HTVS-017DA1C05B1D,98562,rxn503b____EMOL3801098____EMOL7515103____EMOL1468452,98562-4,256,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,C[C@H]([NH2+]CC#Cc1cnc(NC(=O)Cc2ccccc2C#N)c2ccccc12)c1ccccc1,CC([NH2+]CC#Cc1cnc(NC(=O)Cc2ccccc2C#N)c2ccccc12)c1ccccc1,O=C(Cc1ccccc1)Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12,C29H25N4O+,1.0,34.0,59.0,1.0,4702bfe7f560ac150984c3aaea321b8669401e4034ec3bef34cbb4c930544edb,-4.47627817522789,-59.9010911131155,-0.131655240447879,2,2,2,matched,complete
ATP-HTVS-01DF3EF44742,99137,rxn514b____EMOL483896____EMOL17240199____EMOL4279023,99137-1,265,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,C[NH+](C)Cc1cccc(Nc2cnccc2C(=O)N(CCO)c2ccccc2)c1,C[NH+](C)Cc1cccc(Nc2cnccc2C(=O)N(CCO)c2ccccc2)c1,O=C(Nc1ccccc1)c1ccncc1Nc1ccccc1,C23H27N4O2+,1.0,29.0,56.0,1.0,492f03673cfbade1de1177c331b5391f7b9cd0f271cbda27dc3ff3ae88dda32d,-4.47878814702221,-55.4649608836707,-0.154440970586973,2,2,2,matched,complete
ATP-HTVS-01E9987F6BBC,40801,m_270004bda____24170338____18240806,40801-2,1346,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,O=C1CN(Cc2c(F)ccc(F)c2F)[C@@H](c2ccccc2)c2ccccc2N1,O=C1CN(Cc2c(F)ccc(F)c2F)C(c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,C22H17F3N2O,0.0,28.0,45.0,1.0,6a42119277ef197c166122a1d3f691e2feb57ccd3e750990f2699453918e379e,-1.40856773004933,-30.9108722522088,-0.0503059903589045,2,2,2,matched,complete
ATP-HTVS-02393E0D1A46,72513,rxn502c____EMOL478180____EMOL44472687____EMOL44834539,72513-2,177,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,Cc1cccc([C@H](O)CNc2c(NC(=O)c3ccccc3)c[nH+]c3ccccc23)c1,Cc1cccc(C(O)CNc2c(NC(=O)c3ccccc3)c[nH+]c3ccccc23)c1,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,C25H24N3O2+,1.0,30.0,54.0,1.0,40901b0634ea659b299b45a04d889c34dce22d65794c31fb2020945312de8927,-4.68860698749509,-55.092002197439,-0.15628689958317,4,4,4,matched,complete
ATP-HTVS-02527EDCA73D,62593,m_270004bbb____8293672____7549102,62593-3,70,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,O[C@@H](C[NH2+]Cc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1cccc(Cl)c1,OC(C[NH2+]Cc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1cccc(Cl)c1,c1ccc(CC[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)cc1,C23H22Cl2N3O+,1.0,29.0,51.0,1.0,dbf6ec3d6b2ca4bd1538170bb0d323faa7d5aec1d01467fc6e465af13a40b9e1,-5.15716390255472,-66.1946803693274,-0.177833238019128,3,3,3,matched,complete
ATP-HTVS-0258CCAE4910,3905,YAS_R001____OTV6666760____OTV7020701068,3905-1,523,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,C[NH+](C)CCNc1ccc(CNC(=O)c2cn(-c3ccccc3)c(=O)c3ccccc23)cc1,C[NH+](C)CCNc1ccc(CNC(=O)c2cn(-c3ccccc3)c(=O)c3ccccc23)cc1,O=C(NCc1ccccc1)c1cn(-c2ccccc2)c(=O)c2ccccc12,C27H29N4O2+,1.0,33.0,62.0,1.0,f11fc6418d2df50d88e855978d6178250db241981c95b7c56deb1c15895d9204,-3.77278250253085,-50.5591658454155,-0.114326742500935,1,1,1,matched,complete
ATP-HTVS-027CB3113620,20194,WXCD003____AN3784____LN05333710____AK00809,20194-3,976,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,CC[C@H](c1ccccc1)N(C)C(=O)c1nn2ccccc2c1C(=O)NCc1ccc(CN(C)C)cc1,CCC(c1ccccc1)N(C)C(=O)c1nn2ccccc2c1C(=O)NCc1ccc(CN(C)C)cc1,O=C(NCc1ccccc1)c1nn2ccccc2c1C(=O)NCc1ccccc1,C29H33N5O2,0.0,36.0,69.0,1.0,86f267d0388b5bb7acdb0b3926217b3cbd4e28bfe865b2cf6391a52251dc534b,-2.49226291162582,-48.8819427274015,-0.0692295253229396,1,1,1,matched,complete
ATP-HTVS-0282D10141FD,57825,m_270004bbb____8292364____10709854,57825-1,163,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,Cc1cccc(O)c1C[NH2+]Cc1cn(-c2ccccc2)nc1-c1ccncc1,Cc1cccc(O)c1C[NH2+]Cc1cn(-c2ccccc2)nc1-c1ccncc1,c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,C23H23N4O+,1.0,28.0,51.0,1.0,8887586c6675b854447dea693dc28f88b4f8044087b828dd98403aaff28bce21,-4.7455117172325,-59.8543821490941,-0.169482561329732,3,3,3,matched,complete
ATP-HTVS-028F2DC4E032,96994,rxn318____EMOL50155899____EMOL481226____EMOL476827,96994-1,192,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,C[NH+](C)Cc1ccc(Cn2c(-c3ccccc3Br)nc3cccc(F)c3c2=O)cc1,C[NH+](C)Cc1ccc(Cn2c(-c3ccccc3Br)nc3cccc(F)c3c2=O)cc1,O=c1c2ccccc2nc(-c2ccccc2)n1Cc1ccccc1,C24H22BrFN3O+,1.0,30.0,52.0,1.0,b383f8463bc4b437ad7540e9d911ae6a267a63ed4c3ec08eba1c774d80075748,-4.69863757955225,-55.6062228854202,-0.156621252651742,2,2,2,matched,complete
ATP-HTVS-02AC8E798E60,89826,rxn112____EMOL628199____EMOL932560,89826-1,340,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,C[NH+](C)[C@H](Cc1cc(-c2ccncc2)nc2ccccc12)c1ccccc1Cl,C[NH+](C)C(Cc1cc(-c2ccncc2)nc2ccccc12)c1ccccc1Cl,c1ccc(CCc2cc(-c3ccncc3)nc3ccccc23)cc1,C24H23ClN3+,1.0,28.0,51.0,1.0,0686de0e2510a7fc663e89ba7b8a50ef54042ef72844e1cb69f2e960ffaf03f4,-4.27581637536966,-45.1966953343057,-0.152707727691774,3,3,3,matched,complete
ATP-HTVS-02BB8772E392,54466,m_270004bda____24170338____21415512,54466-2,1246,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,Cc1c(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)cccc1C(F)(F)F,Cc1c(CN2CC(=O)Nc3ccccc3C2c2ccccc2)cccc1C(F)(F)F,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,C24H21F3N2O,0.0,30.0,51.0,1.0,dbf08f7072d1e4da5bc3ebdb56be10f09edee562f30bf9201b6d91175937b766,-1.68205076672122,-31.5168580619952,-0.0560683588907072,2,2,2,matched,complete
ATP-HTVS-02DF9A19852D,45889,m_270004bbb____23845970____24720860,45889-2,106,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,c1ccc(Cn2c(C[NH2+]CC[C@@H](c3ccccc3)[NH+]3CCCC3)nc3ccccc32)cc1,c1ccc(Cn2c(C[NH2+]CCC(c3ccccc3)[NH+]3CCCC3)nc3ccccc32)cc1,c1ccc(Cn2c(C[NH2+]CCC(c3ccccc3)[NH+]3CCCC3)nc3ccccc32)cc1,C28H34N4+2,2.0,32.0,66.0,1.0,68b62c4c1f804ae68f6acf85c4fafb818f5a925527a7e6ea2d67099992920d73,-4.97657782986944,-56.3434563490727,-0.15551805718342,1,1,1,matched,complete
ATP-HTVS-0362648F57EF,78755,rxn512b____EMOL31531197____EMOL44846536____EMOL50155899,78755-1,432,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,Cc1ccc(N(C)C(=O)c2cc(NCc3ccc(C[NH+](C)C)cc3)c(Cl)s2)cc1Cl,Cc1ccc(N(C)C(=O)c2cc(NCc3ccc(C[NH+](C)C)cc3)c(Cl)s2)cc1Cl,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,C23H26Cl2N3OS+,1.0,30.0,56.0,1.0,2013b977dd7dba4fc3c4d0aaa24f5edf25390a34d2fac1c1c69d4298f073f1c3,-3.94325468056887,-48.7928910151211,-0.131441822685629,1,1,1,matched,complete
ATP-HTVS-03C3664644A2,98497,rxn502c____EMOL521529____EMOL49259969____EMOL36790511,98497-2,385,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,C[C@@H](C#N)N(c1ccccc1)c1c(CN(C)C(=O)Cc2ccc(O)cc2)sc2ccccc12,CC(C#N)N(c1ccccc1)c1c(CN(C)C(=O)Cc2ccc(O)cc2)sc2ccccc12,O=C(Cc1ccccc1)NCc1sc2ccccc2c1Nc1ccccc1,C27H25N3O2S,0.0,33.0,58.0,1.0,bc41131a993f3869159ea40b90428633d8d324c7e00f9ebe2533d02d017bbc64,-4.15070282757494,-48.038259212933,-0.125778873562877,2,2,2,matched,complete
ATP-HTVS-03F3A1A9B60E,77378,rxn512b____EMOL2735375____EMOL525138____EMOL50155899,77378-1,852,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,CN(C(=O)c1sccc1NCc1ccc(C[NH+](C)C)cc1)c1ccccc1N,CN(C(=O)c1sccc1NCc1ccc(C[NH+](C)C)cc1)c1ccccc1N,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,C22H27N4OS+,1.0,28.0,55.0,1.0,592323f4fe6455cd46ec991c6d61fd28cb086826a8718355bb6b3c155637ff21,-2.87454592440143,-37.9721997690578,-0.102662354442908,2,2,2,matched,complete
ATP-HTVS-0438281B0112,75297,rxn102c____EMOL1087657____EMOL44691345,75297-1,370,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,C[NH+](C)Cc1ccccc1Nc1nc2ccccc2nc1-c1ccccc1,C[NH+](C)Cc1ccccc1Nc1nc2ccccc2nc1-c1ccccc1,c1ccc(Nc2nc3ccccc3nc2-c2ccccc2)cc1,C23H23N4+,1.0,27.0,50.0,1.0,889d3461ddbd7a2604d7e4dc5f3282b2f70859a253e859c4f7c59e0870194908,-4.14983282792689,-49.46300019774,-0.15369751214544,2,2,2,matched,complete
ATP-HTVS-0460857F35D6,52162,m_270004bbb____8295050____7548060,52162-2,789,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,OCCOc1ccc(CNCc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,OCCOc1ccc(CNCc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,c1ccc(CNCc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,C26H27N3O2,0.0,31.0,58.0,1.0,b1c7bcc77e0c067cdfbe87d2d5f099543b34308b5afd2552227c15caa3e92312,-3.06745979615094,-48.96232051033,-0.0989503160048689,1,1,1,matched,complete
ATP-HTVS-04621B482D9F,87427,rxn512b____EMOL36822768____EMOL525138____EMOL50155899,87427-1,235,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,C[NH+](C)Cc1ccc(CNc2ccsc2C(=O)N(C#N)c2ccccc2)cc1,C[NH+](C)Cc1ccc(CNc2ccsc2C(=O)N(C#N)c2ccccc2)cc1,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,C22H23N4OS+,1.0,28.0,51.0,1.0,ee8bfc5050d3214c61482adb7a4bf6eac865fa7bbcebce8213784598d7be99a0,-4.54855997419821,-59.2014913731764,-0.162448570507079,2,2,2,matched,complete
ATP-HTVS-04BA495CA0A4,22531,m_2230bbb____22403556____7471132,22531-4,785,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,Cc1cccc([C@@H](CN(C)C)[NH2+]Cc2nc3ccccc3c(-c3ccccc3)c2Cl)c1,Cc1cccc(C(CN(C)C)[NH2+]Cc2nc3ccccc3c(-c3ccccc3)c2Cl)c1,c1ccc(C[NH2+]Cc2cc(-c3ccccc3)c3ccccc3n2)cc1,C27H29ClN3+,1.0,31.0,60.0,1.0,ecc0fe2130341aefeacb42403b813fdee4af29e897b9b523b248b28cfcdd6630,-3.00531349655571,-45.3693798795769,-0.0969455966630874,1,1,1,matched,complete
