compound_id,historical_alias,mapping_status,htvs_canonical_id,global_rank,percentile,scaffold_relative_rank,vina_affinity
ATP-SMI-9DA3213A09E8,Hit1,not_present_in_htvs1633,,,,,
ATP-SMI-C93E6EC67CDB,Hit2,not_present_in_htvs1633,,,,,
ATP-SMI-874C2DE25FE4,Hit3,not_present_in_htvs1633,,,,,
ATP-SMI-5D3E7B6B6796,Hit4,not_present_in_htvs1633,,,,,
ATP-SMI-96FD6257D8BA,Hit5,not_present_in_htvs1633,,,,,
ATP-SMI-E9798004BA11,Hit6,not_present_in_htvs1633,,,,,
ATP-SMI-15737353FB69,Hit7,not_present_in_htvs1633,,,,,
ATP-SMI-BF69AB71C1A4,Hit8,not_present_in_htvs1633,,,,,
ATP-SMI-FCA9CDF3313B,Hit9,not_present_in_htvs1633,,,,,
ATP-SMI-C3308BEE03AC,Hit10,not_present_in_htvs1633,,,,,
ATP-SMI-CDED936B42F4,Hit11,not_present_in_htvs1633,,,,,
ATP-SMI-94F73967C042,Hit12,not_present_in_htvs1633,,,,,
ATP-SMI-5B36D3E11A3B,Hit13,exact_canonical_smiles,ATP-HTVS-5658ECC62B06,1077.0,33.8660110633067,11.0,-7.672
ATP-SMI-775D33706F04,Hit14,not_present_in_htvs1633,,,,,
ATP-SMI-CFA68A98711F,Hit15,not_present_in_htvs1633,,,,,
ATP-SMI-91E7552C2382,Hit16,not_present_in_htvs1633,,,,,
ATP-SMI-4417138BF81D,Hit17,not_present_in_htvs1633,,,,,
ATP-REF-IN2,IN-2,not_present_in_htvs1633,,,,,
