compound_id,compound_code,canonical_smiles,scaffold,historical_HTVS_score,docking_rank_utility,reference_similarity,parent_reference_similarity,reference_compound,reference_key,reference_doi,source_file
ATP-HTVS-0009DAEDE04F,79971,N#CCN(c1ccccc1)c1cnc(NC(=O)CCc2ccc(S)cc2)c2ccccc12,O=C(CCc1ccccc1)Nc1ncc(Nc2ccccc2)c2ccccc12,-3.58525470579908,0.25674019607843135,0.19753086419753085,0.19753086419753085,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0015C54A99C8,82625,C[NH+](C)Cc1ccccc1C(=O)Nc1c(N[C@H](C#N)c2c(F)cccc2F)cnc2ccccc12,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,-3.84066710724475,0.3529411764705882,0.2127659574468085,0.2235294117647059,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-003E4D952AAC,76899,CC(=O)[C@@H](Nc1cnc2ccccc2c1NC(=O)c1ccccc1C[NH+](C)C)c1ccccc1,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,-4.13615387037502,0.46568627450980393,0.2289156626506024,0.24050632911392406,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-005EEA24BFEA,69987,CN(c1cc2ccccc2nc1NC(=O)c1ccccc1C[NH+](C)C)[C@H](C#N)c1ccccc1,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1,-4.35640294669943,0.5594362745098039,0.2804878048780488,0.3055555555555556,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0063E4174F09,34081,O=C1CN(Cc2ccc(Cl)cc2I)[C@H](c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,-1.03468293307069,0.011642156862745057,0.18518518518518517,0.18518518518518517,WSA249,YEMLSUARMQTHJO-UHFFFAOYSA-N,10.1002/cmdc.202400952,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0079D40D2121,29921,Cc1ccccc1C[C@@H](CO)NCc1nc2ccccc2c(-c2ccccc2)c1Cl,c1ccc(CCNCc2cc(-c3ccccc3)c3ccccc3n2)cc1,-3.34092399123274,0.20404411764705888,0.25,0.2625,compound 18 (Steed 2022),DCLANSSFVIGXHQ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-007D6F34F923,30817,C[NH+](C)Cc1ccccc1CNc1nc2ccccc2nc1N[C@@H](CCO)c1ccccc1,c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1,-3.4850388695678,0.23100490196078427,0.24,0.2898550724637681,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-00C8034698A8,34403,C[NH+](C)Cc1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,c1ccc(CC[NH2+]Cc2nc(-c3ccco3)n3ccccc23)cc1,-5.81163963281027,0.9626225490196079,0.16483516483516483,0.3,WSA278,JWHCVPMRQDOIHA-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-00F86A54285D,38369,C[NH+](C)Cc1ccccc1CNc1nc(NCc2ccccc2CO)[nH+]c2ccccc12,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,-3.90724208104371,0.3756127450980392,0.20833333333333334,0.3114754098360656,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-011A966B3F21,59203,Cc1cccc(C[C@@H](CO)C[NH2+][C@H](c2ccccn2)c2cc3ccccc3o2)c1,c1ccc(CCC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,-5.69314528862896,0.9491421568627451,0.22784810126582278,0.21686746987951808,Ward2024 compound 19,PXXYITLVUSHXPN-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
