profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-SMI-15737353FB69,Hit7,,,,,,
balanced,ATP-SMI-4417138BF81D,Hit17,,,,,,
balanced,ATP-SMI-5B36D3E11A3B,Hit13,,,,,,
balanced,ATP-SMI-5D3E7B6B6796,Hit4,,,,,,
balanced,ATP-SMI-775D33706F04,Hit14,,,,,,
balanced,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
balanced,ATP-SMI-91E7552C2382,Hit16,,,,,,
balanced,ATP-SMI-94F73967C042,Hit12,,,,,,
balanced,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
balanced,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
balanced,ATP-SMI-BF69AB71C1A4,Hit8,,,,,,
balanced,ATP-SMI-C3308BEE03AC,Hit10,,,,,,
balanced,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
balanced,ATP-SMI-CDED936B42F4,Hit11,,,,,,
balanced,ATP-SMI-CFA68A98711F,Hit15,,,,,,
balanced,ATP-SMI-E9798004BA11,Hit6,,,,,,
balanced,ATP-SMI-FCA9CDF3313B,Hit9,,,,,,
binding_focused,ATP-SMI-15737353FB69,Hit7,,,,,,
binding_focused,ATP-SMI-4417138BF81D,Hit17,,,,,,
binding_focused,ATP-SMI-5B36D3E11A3B,Hit13,,,,,,
binding_focused,ATP-SMI-5D3E7B6B6796,Hit4,,,,,,
binding_focused,ATP-SMI-775D33706F04,Hit14,,,,,,
binding_focused,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
binding_focused,ATP-SMI-91E7552C2382,Hit16,,,,,,
binding_focused,ATP-SMI-94F73967C042,Hit12,,,,,,
binding_focused,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
binding_focused,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
binding_focused,ATP-SMI-BF69AB71C1A4,Hit8,,,,,,
binding_focused,ATP-SMI-C3308BEE03AC,Hit10,,,,,,
binding_focused,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
binding_focused,ATP-SMI-CDED936B42F4,Hit11,,,,,,
binding_focused,ATP-SMI-CFA68A98711F,Hit15,,,,,,
binding_focused,ATP-SMI-E9798004BA11,Hit6,,,,,,
binding_focused,ATP-SMI-FCA9CDF3313B,Hit9,,,,,,
atp_mechanism_focused,ATP-SMI-15737353FB69,Hit7,,,,,,
atp_mechanism_focused,ATP-SMI-4417138BF81D,Hit17,,,,,,
atp_mechanism_focused,ATP-SMI-5B36D3E11A3B,Hit13,,,,,,
atp_mechanism_focused,ATP-SMI-5D3E7B6B6796,Hit4,,,,,,
atp_mechanism_focused,ATP-SMI-775D33706F04,Hit14,,,,,,
atp_mechanism_focused,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
atp_mechanism_focused,ATP-SMI-91E7552C2382,Hit16,,,,,,
atp_mechanism_focused,ATP-SMI-94F73967C042,Hit12,,,,,,
atp_mechanism_focused,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
atp_mechanism_focused,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
atp_mechanism_focused,ATP-SMI-BF69AB71C1A4,Hit8,,,,,,
atp_mechanism_focused,ATP-SMI-C3308BEE03AC,Hit10,,,,,,
atp_mechanism_focused,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
atp_mechanism_focused,ATP-SMI-CDED936B42F4,Hit11,,,,,,
atp_mechanism_focused,ATP-SMI-CFA68A98711F,Hit15,,,,,,
atp_mechanism_focused,ATP-SMI-E9798004BA11,Hit6,,,,,,
atp_mechanism_focused,ATP-SMI-FCA9CDF3313B,Hit9,,,,,,
experimental_validation_focused,ATP-SMI-15737353FB69,Hit7,,,,,,
experimental_validation_focused,ATP-SMI-4417138BF81D,Hit17,,,,,,
experimental_validation_focused,ATP-SMI-5B36D3E11A3B,Hit13,,,,,,
experimental_validation_focused,ATP-SMI-5D3E7B6B6796,Hit4,,,,,,
experimental_validation_focused,ATP-SMI-775D33706F04,Hit14,,,,,,
experimental_validation_focused,ATP-SMI-874C2DE25FE4,Hit3,,,,,,
experimental_validation_focused,ATP-SMI-91E7552C2382,Hit16,,,,,,
experimental_validation_focused,ATP-SMI-94F73967C042,Hit12,,,,,,
experimental_validation_focused,ATP-SMI-96FD6257D8BA,Hit5,,,,,,
experimental_validation_focused,ATP-SMI-9DA3213A09E8,Hit1,,,,,,
experimental_validation_focused,ATP-SMI-BF69AB71C1A4,Hit8,,,,,,
experimental_validation_focused,ATP-SMI-C3308BEE03AC,Hit10,,,,,,
experimental_validation_focused,ATP-SMI-C93E6EC67CDB,Hit2,,,,,,
experimental_validation_focused,ATP-SMI-CDED936B42F4,Hit11,,,,,,
experimental_validation_focused,ATP-SMI-CFA68A98711F,Hit15,,,,,,
experimental_validation_focused,ATP-SMI-E9798004BA11,Hit6,,,,,,
experimental_validation_focused,ATP-SMI-FCA9CDF3313B,Hit9,,,,,,
